,price,year,origin,firstCirculationDate,technicalControl,firstHand,mileage,energy,gearbox,externalColor,doors,seats,length,trunkVolumeRange,consumption,co2
1047,28270,2021,France,05/01/2022,Non requis,Oui,143834,Electrique,Automatique,BLANC,5.0,5.0,4.17,Petit coffre,,
1048,15000,2021,France,01/12/2021,Non requis,Oui,19577,Essence,Manuelle,blanc,5.0,5.0,4.0,Grand coffre,5.8,130.0
1049,17740,2020,France,17/09/2020,Non requis,Oui,101429,Diesel,Automatique,noir,5.0,5.0,4.25,Grand coffre,3.9,99.0
1050,18130,2023,France,28/03/2023,Non requis,Non,7451,Essence,Manuelle,GRIS FONCE,5.0,5.0,4.0,Grand coffre,5.3,123.0
1051,15100,2019,France,29/10/2019,Requis,Oui,68542,Essence,Manuelle,platine,5.0,5.0,3.97,Grand coffre,3.9,104.0
1052,41000,2021,France,22/12/2021,Non requis,Oui,43549,Essence,Automatique,argent metal,5.0,5.0,4.3,Moyen Coffre,6.4,146.0
1053,16980,2017,France,06/02/2017,Requis,Oui,32292,Essence,Automatique,noir metal,5.0,5.0,3.97,Grand coffre,3.8,104.0
1054,52360,2017,France,09/05/2017,Requis,Non,94010,Diesel,Automatique,noir verni,5.0,5.0,4.63,Moyen Coffre,5.9,174.0
1055,48120,2019,France,26/08/2019,Requis,Oui,43125,Diesel,Automatique,gris metal,5.0,5.0,4.71,Moyen Coffre,4.8,132.0
1056,22950,2020,France,06/06/2020,Non requis,Oui,57988,Diesel,Manuelle,noir,5.0,5.0,4.3,Moyen Coffre,4.9,109.0
1057,24620,2022,France,07/01/2023,Non requis,Non,75433,Essence,Manuelle,noir metal,5.0,5.0,,,5.4,122.0
1058,35990,2020,France,15/07/2020,Non requis,Oui,101040,Hybride essence électrique,Automatique,rouge metal,5.0,5.0,4.6,Moyen Coffre,,
1059,22180,2020,France,17/08/2020,Non requis,Oui,72671,Diesel,Manuelle,gris,5.0,7.0,4.64,Petit coffre,5.8,127.0
1060,40260,2023,France,06/11/2023,Non requis,Oui,20982,Diesel,Automatique,noir,5.0,5.0,4.21,Moyen Coffre,5.0,137.0
1061,25940,2019,France,05/07/2019,Requis,Non,124344,Diesel,Automatique,Gris,5.0,5.0,4.39,Moyen Coffre,4.5,132.0
1062,55180,2023,Importé,12/03/2023,Non requis,Non,5219,Essence,Automatique,blanc verni,5.0,5.0,4.5,Moyen Coffre,6.3,143.0
1063,48360,2020,France,04/01/2021,Non requis,Oui,58550,Hybride essence électrique,Automatique,gris,5.0,5.0,4.69,Moyen Coffre,,
1064,39580,2018,France,06/06/2018,Requis,Oui,104500,Hybride essence électrique,Automatique,gris clair,5.0,5.0,4.66,Moyen Coffre,,
1065,18970,2019,France,30/11/2019,Non requis,Non,145220,Diesel,Manuelle,gris clair metal,5.0,5.0,4.19,Moyen Coffre,4.1,114.0
1066,53240,2011,France,12/03/2011,Requis,Non,88423,Essence,Automatique,noir metal,5.0,4.0,4.97,Moyen Coffre,8.9,286.0
1067,31570,2023,Importé,08/04/2023,Non requis,Non,13306,Hybride essence électrique,Manuelle,gris,5.0,,,,,
1068,14280,2021,Importé,29/06/2021,Non requis,Non,79522,Diesel,Manuelle,gris,5.0,5.0,4.28,Grand coffre,4.0,109.0
1069,29560,2021,France,05/12/2021,Non requis,Non,28651,Essence,Automatique,Teinte spéciale Bleu Vertigo,5.0,5.0,4.3,Moyen Coffre,6.1,140.0
1070,40260,2024,Importé,14/02/2024,Non requis,Non,11,Essence,Automatique,bleu,5.0,,,,,136.0
1071,16780,2015,France,10/09/2015,Requis,Oui,93040,Essence,Manuelle,blanc,5.0,5.0,4.38,Moyen Coffre,4.9,129.0
1072,11470,2017,France,19/08/2017,Requis,Non,105374,Essence,Manuelle,blanc,3.0,4.0,3.57,Moyen Coffre,4.2,115.0
1073,83510,2019,France,19/09/2019,Requis,Non,50061,Essence,Automatique,gris,4.0,5.0,5.17,Grand coffre,6.5,182.0
1074,20750,2018,France,01/04/2018,Requis,Non,114712,Essence,Automatique,blanc,5.0,5.0,4.34,Moyen Coffre,4.4,119.0
1075,35440,2020,Importé,16/07/2020,Non requis,Oui,26303,Diesel,Manuelle,beige,5.0,,,,,126.0
1076,29600,2019,France,02/05/2019,Requis,Oui,38167,Hybride essence électrique,Automatique,bleu marine metal,5.0,5.0,4.31,Moyen Coffre,,
1077,17220,2021,France,30/07/2021,Non requis,Oui,20435,Essence,Manuelle,gris clair,5.0,5.0,4.06,Grand coffre,5.3,118.0
1078,25030,2023,Importé,05/02/2023,Non requis,Non,13875,Essence,Automatique,blanc,5.0,,,,,135.0
1079,19940,2019,Importé,11/01/2020,Non requis,Non,53371,Essence,Manuelle,gris,5.0,,,,,129.0
1080,25600,2024,France,24/10/2024,Non requis,Non,12,Essence,Automatique,vert,5.0,5.0,4.1,Grand coffre,5.7,129.0
1081,45480,2021,France,03/06/2021,Non requis,Non,75913,Diesel,Automatique,Noir,5.0,5.0,4.5,Moyen Coffre,5.9,155.0
1082,16780,2021,Importé,13/04/2021,Non requis,Oui,50220,Essence,Manuelle,noir,3.0,,,,,131.0
1083,30750,2024,France,28/06/2024,Non requis,Oui,1,Essence,Automatique,rouge,5.0,5.0,4.3,Moyen Coffre,6.0,136.0
1084,31180,2021,France,04/12/2021,Non requis,Non,56624,Diesel,Manuelle,Jaune,5.0,5.0,4.34,Grand coffre,4.3,115.0
1085,14020,2018,France,30/03/2018,Requis,Oui,120957,Diesel,Manuelle,blanc,5.0,3.0,4.38,Grand coffre,3.9,110.0
1086,20880,2019,France,23/05/2019,Requis,Non,13026,Essence,Automatique,bleu,3.0,2.0,2.7,Moyen Coffre,3.6,96.0
1087,72570,2011,France,16/09/2011,Requis,Non,117305,Essence,Automatique,blanc,2.0,4.0,4.62,Grand coffre,8.5,263.0
1088,29730,2022,France,20/10/2022,Non requis,Non,30702,Essence,Manuelle,GRIS FONCE,5.0,5.0,4.34,Grand coffre,5.6,126.0
1089,18540,2015,Importé,20/11/2015,Requis,Oui,106014,Diesel,Manuelle,marron,5.0,5.0,,,,
1090,38040,2023,Importé,30/12/2023,Non requis,Non,13987,Hybride essence électrique,Automatique,rouge,5.0,,,,,
1091,25200,2020,Importé,21/03/2020,Non requis,Non,76069,Essence,Manuelle,noir,5.0,,,,,
1092,7070,2007,France,26/07/2007,Requis,Non,153400,Essence,Manuelle,gris metal,5.0,5.0,3.69,Moyen Coffre,6.2,148.0
1093,21160,2023,Importé,10/10/2023,Non requis,Oui,22102,Essence,Automatique,noir,5.0,,,,,122.0
1094,18120,2019,France,03/10/2019,Requis,Oui,99208,Essence,Manuelle,gris,5.0,4.0,3.97,Grand coffre,4.2,97.0
1095,28310,2018,France,17/02/2018,Requis,Oui,73195,Essence,Manuelle,rouge metal,2.0,,3.92,Petit coffre,6.6,154.0
1096,23080,2018,France,27/07/2018,Requis,Non,85840,Essence,Automatique,Gris,5.0,5.0,3.97,Grand coffre,4.3,113.0
1097,18000,2021,Importé,31/01/2022,Non requis,Oui,52597,Diesel,Manuelle,blanc,4.0,,,,,142.0
1098,22380,2022,France,02/09/2022,Non requis,Non,37519,Essence,Manuelle,blanc,5.0,5.0,4.04,Grand coffre,,114.0
1099,30610,2018,France,01/01/2019,Requis,Oui,101108,Diesel,Automatique,gris,5.0,7.0,4.64,Grand coffre,4.0,112.0
1100,23740,2022,France,29/12/2022,Non requis,Non,50301,Essence,Manuelle,gris,5.0,5.0,4.39,Moyen Coffre,,
1101,42100,2022,France,29/08/2022,Non requis,Non,19726,Diesel,Automatique,bleu marine metal,5.0,5.0,4.5,Moyen Coffre,5.0,143.0
1102,38360,2024,France,30/04/2024,Non requis,Oui,1,Diesel,Manuelle,blanc,4.0,3.0,5.55,,13.0,230.0
